@relation train_set

@attribute text string
@attribute sentiment {negative,neutral,positive}

@data
'So bad why upgrade?',negative
Deserved.,negative
'What!! a!! UPGRADE!!!',positive
'was hoping for 80plus pace',negative
'great player',positive
'deserved upgrade... but the stats tho? o.O',negative
'he was a monster.',positive
GOAT,positive
'still OP ngl..',positive
'sad decline',negative
'Who else absolutely despises the new icon card design?',neutral
'Can we all agree to keep him over 100k?',neutral
'Deserved 85',negative
'He definetely deserves 85.',negative
'should be 88',negative
'100k+ at release',neutral
'*Barely has two stats 85 or higher*',negative
'How did this guy get an upgrade? Deserves to be the same.',negative
'Deserves lower rating, he is far from the best keepers in Bundesliga.',negative
'Legend - miss you already. Merci O Monstro<3',positive
'Atleast he still got 60 Pace, def gonna be one of my CBs. The second one will be a fast one.',positive
'Legend - miss you already. Merci O Monstro<3',positive
'He\'s a joke, little to no defensive support from playing as a holding mid along side Matic, Fred, or McTominay, terrible work rates. But I admit, he\'s one of the best passers in the PL, but he thinks he\'s all that, his negative impact on the dressing room, he just brought drama we didn\'t need along side Mino smh, and now he wants to stay, he hasn\'t been the same player since returning and I don\'t think he\'ll ever be as good as he used to be. Just my opinions tho',negative
'68 pace lmao he\'s only got one leg',negative
'Paul Liability Pogba! Should have been downgraded more imo',negative
'didnt deserve a downgrade tbh',negative
Overrated.,negative
'he will be a beast',positive
'deserves 5*5*',negative
'absolute tank - great card',positive
'How is he rated?',neutral
'Becoming more useless every fifa since 17',negative
'he is not so good now for SBC',negative
'really no reason for downgrading him',negative
'him or phil jones ?',neutral
'Deserved to be the best defender in FIFA 21. I wouldn\'t mind if Ramos had the same rating though, he had an amazing season.',negative
'still unusable rip',negative
'Downgrade for what exactly?',negative
'0* weak foot finally!!!',positive
'i guess he will be the cheapest 84 now',neutral
'what\'s my name',neutral
'Brilliant keeper',positive
'Can’t believe they did this, absolutely insane',negative
'Should\'ve been 85 or 86',negative
'Doesnt necessarily deserved an upgrade this season.',negative
'34 years old and getting a +2 upgrade fair play',positive
'This is actually crazy, I can\'t recall EA ever giving such a boost to an old guy.',negative
'Reminds me of his FIFA 13 card - what a beast he was',positive
'Wtf, why did he got a downgrade, hes been top but hey, it seems its a theme this time.',negative
goat,positive
'i wont pay 60 $ ',neutral
'nice starter squad suspect',positive
'should be a 83',negative
'fits the meta',positive
'Look at the stats... 87 overall they say, what a joke.',negative
'As a Slovak im perfectly fine with this small downgrade. But that De Vrij rating is criminal, he was the best Inter (and Seria A) defender last season, by far.',negative
'Legendary fodder at this point',positive
'Still unuseable',negative
'can someone tell me whats new in this game ? our its just same game',neutral
'Neymar shouldn\'t be put at the same level as Lewa and KDB',negative
'Should be 87',negative
'Is this a joke? No way Henderson is 86',negative
'As a Benfica fan i would say he was overrated in Fifa 20 and he did a worst season than the one before and still got upgraded.',negative
'This is an absolute joke. How on earth is he downgraded? He should be 84.Matip started 8 games last season and is 83 rated. Kimpembé was brilliant for an entire season and ends up at 81...',negative
'Had a fantastic CL campaign! PSG reached the final for the first time ever - also being the team that conceded the least amount of goals thanks to Kimpempe, Marquinhos and Thiago Silva... All 3 downgraded... what the hell ea... can\'t even bother.',negative
'last year he was unbelievable',positive
'Same rating as Bruno and Firmino HAHAHAHA',negative
'I’m never been so angry, upset and downright disappointed at a Fifa downgraded rating in my lifetime',negative
'This guy has like 0.8 ratio of goals/assists per game without penalities, beast',positive
'Why the pace downgrade ea?',negative
'BRUNO BRUNO BRUNO, came from sporting like Cristiano, he goes left he goes right, makes defences look ****e, he’s our Portuguese magnifico!',positive
'Gonna be op with that 4* weak foot',positive
'its great for fifa 21',positive
'will be the best striker in the prem in fut21',positive
'that\'s one hell of a card.',positive
'Sir Marcus Rashford the goat',positive
'4 star week foot and high medium work rates will make so good',positive
'low/low workrate wtfffff',negative
'I’d love to see him and Berbatov as icons someday, their elegance and ability was truly outstanding',positive
'If you are starting to play on Fifa 21, give it a chance to Stoichkov.I have played consistently with him since he became an Icon and he\'s a BEAST!!Focus on his left foot and you will be fine',positive
first,neutral
'He joined Arsenal 2.5 years ago. In that time he\'s scored 71 goals in 110 appearances and been downgraded TWICE. Fifa 19 and Fifa 21 downgrades for no reason',negative
'What a joke rating, Deserves 89',negative
'how is it possibile that Jesus navas is 84 rated ??',neutral
'truly a dream',positive
'Auba having on of his best seasons so far in his careerEA: Let\'s downgrade him.',negative
'Interesting weak foot and skill moves glitch.',positive
'GOLDEN BOOT 2019 - DOWNGRADEALMOST GOLDEN BOOT 2020, TOTS, part of best 11 PL squad irl, 26\% shots goals - DOWNGADE just **** off EA, I used just don\'t want to buy game, now I\'m sure I\'m not.',negative
'The first player I\'m saving my coins for this year, absolutely love him irl and ig he was unstoppable the previous FIFA',positive
'****ing second top scorer and downgrade what the',negative
'great upgrade ea...',positive
'Should be higher but at least they upgraded his pace',negative
'guerreiro have 78 shoot and sancho 20 goals in last season have 74 HAHAHHA',negative
'83 pace and 74 shoot ??? 20 goals and 20 assist in the season this is a joke ea',negative
'ea should consider banning weed in their office.',negative
'This is an utter disgrace. Why do we let YOU rate the players, EA?',negative
'Destroyed CL scored many goals gets a shiet card like this',negative
'I want to cry rn',negative
'How did EA manage to make his card worse while upgrading it by +3???',negative
'99\% of walkouts',neutral
'poor milner:(',negative
'He deserved at least 93',negative
'Should have a 5 star weak foot',negative
'Im a spurs fan but he should be 78',negative
'Year after year he gets downgraded after an incredible season…',negative
'Overrated rat player',negative
'SBC Fodder 101 for Fifa 21',neutral
'-8 pace downgrade?? wtf EA',negative
'Is this supposed to be a joke I dont get?',negative
'Ratings are a complete joke fifa 21 ..',negative
'cool design',positive
'I wanted to start with bundesliga, now i doubt it',negative
'Terrible, terrible design',negative
'Why is he a RW? Should be CF.',negative
'Werner- scores 34 goalsEA- lets downgrade this dude',negative
'Is Danny Rose incharge of the ratings?',neutral
'Imagine having him and Vinicius in your front three, samba guaranteed',positive
'Gotta be a 93 minimum',negative
'Nice Pace EA',positive
'76 sprint speed, gg ea',positive
'Should get 60 stamina then.',negative
'will probably be in a lot of starter teams',positive
'wow you can already see fifa 21 icons,',positive
'Would have been 90 pace if he went to United',negative
'he is 20 and got slower -5',negative
'17 goals in 32 Bundesliga games and only get 74 shooting....EA is a joke',negative
'0* 0* with low/low workrates. nice.',negative
'look how they massacred my boy',negative
'Like to pack him in FIFA 21',neutral
'Can\'t wait to put him in a Nani SBC',neutral
'Why did they give him a downgrade?',neutral
'87 is actually wrong. They gave him +4 rep because his base rating at RB is 83. They don\'t give even Messi and Ronaldo +4, I genuinely think EA made an error here.',negative
'Feels like end of an era. When did we last see Alba below 90 pace?',negative
