@relation train_set

@attribute text string
@attribute sentiment {negative,neutral,positive}

@data
'How tf is he 80? should be 77 at best',negative
'The disrespect. Hopefully he retains his 5* skill moves so that his non performance based upgrades will be god tier',negative
'Should have been CF or RW',negative
'This is just disrespectful. If Ea are not gonna watch football at least look at the season stats before rating a player. Just unreal that he is an 85 with 82 (to say the least) and Im a dortmund fan',negative
'the spanish son but 0*0*',negative
'deserved 5*5*',negative
'Sorry, but i think Karim deserves at least the rating Salah and Mane got. I think he is the more talented and smarter on the pitch than them. Too much hype around the Preimer League only because of the way they market themselves',negative
unusable,negative
'0 stats changes... downgrade',negative
'deserved 85',negative
'He should have been upgraded',negative
'0 WEAK FOOT',negative
'Look how they massascred my BOY -',negative
'39 pace even my granny is faster',negative
'should be 89 pace at least and 5wf man',negative
'Downgrades to Marquinhos, Thiago Silva, Kimpembe, Alaba, and Boating? Davies not even in the top 20 fullbacks? Crazy, it\'s like these two teams barely conceded any goals on their way to the champions league final while Liverpool got punted out by Llorente in the round of 16...But let\'s upgrade Matip?',negative
'I did not now that he lost 2 of his legs and got 68 Pace by EA',negative
'Anthony Lopes was as consistent as Sommer or even better... No reason for -2...',negative
'Poor thing that he has -20 pace... Back in the they with Ribery',negative
'This card should have been 87 after what the season he had.',negative
'in what world was he better than zagadou? He is the worst dortmund purchase in recent years, and he is somehow still 80 rated',negative
'Wanna hear a joke?',negative
'Should have 5 * Skills',negative
'He has less dribbling then Wan-Wood-Bisaka while having great dribbling success rate.',negative
'deserve 84 at most',negative
'lewa robbed. deserved 93+',negative
'86 Rated Ziyech Card, that\'s what he deserves on Fifa 21.His weak foot must be 3 instead of 2EA Upgrade him',negative
'EA just seems to have a problem with certain players. The guy had been consistently scoring 20+ goals each season in the top flight for the last 4 years and they struggled to put him past 83. Now he just gets downgraded.',negative
unusable,negative
'deserved 80 or less',negative
'got an upgrade in pretty much everything from last year\'s card and still a -1i need some of what EA are having while making these ratings',negative
'He\'s been butchered this year',negative
'Him having the same rating as Telles is just ridiculous, should be 82',negative
'86 stamina is such a joke. he literally never stops running',negative
'2 informs 3 potms 1 motm winter upgrade and tots card DOWNGRADE!',negative
'WTF he was so good for Chelsea last season, was expecting 83',negative
'Oh look how they massacred my boy',negative
'M/M is stupid, you can even give him High defensive WR and I wouldn\'t complain, always seems to work harder than Barca\'s midfield everytime he plays. ',negative
'deserved 84-85',negative
'did saul get downraded wtf',negative
'deserved a downgrade imo',negative
'He was ranked number 6th best player in serie A last season in the official rankings and he gets downgraded? I am sure it is only because his age',negative
'This card should have been a 87 for sure.',negative
'Man Unt ruined his holl career. Only ogs remenber the good old arsenal days',negative
Disappointing,negative
'He honestly toward the back half of the season hasn\'t been very good on the ball, and he just gave away another goal',negative
'Sad to see how his career is ending, used to be one of the best players in the premier league. Sold his soul and went for the P\'s',negative
'What is EA doing. I mean deserved rating but 3* weak foot? He\'s scored more goals with his weak foot than any other player in the premier league last season.',negative
'This rating is so stupid... Average player and had a super average season. No explanation whatsoever for this rating.',negative
'put Hunter on him and still unusuable..',negative
'People saying he\'s had a bad season? Hasn\'t been good for over 2 years. Deserved downgrade.',negative
'Why the downgrade?',negative
'I don\'t understand this downgrade tbh',negative
DOWNGRADE,negative
'84 it s bad',negative
'He should get a downgrade',negative
'Should have been 85 at least',negative
'44 shooting and 5* weak foot? This means he will at least shoot as equally bad with both feet!',negative
'should be a non-rare Right Back...',negative
'I hate ea. I think he played well at right back. But ea just f u c k it up',negative
'Downgrade after future stars? EA don\'t watch football',negative
'How tf did he get a downgrade, It makes no f sense',negative
'I don\'t understand this downgrade',negative
'79 ? what a joke, and he should be CDM  ',negative
'Look how they massacred my boy...',negative
'Minus 3 is just incredibly harsh',negative
Downgrade?,negative
'once klopp leaves liverpool, everyone is going to see how absolute dog sh*t him and Trent are. So overrated ',negative
'Lewandowski is the most overrated player of all time',negative
'look how they massacred my boy',negative
'42 PHY... even if he got some informs, will have **** stamina, so probably unusable (sorry for bad english)',negative
'deserves much more',negative
'stupid to be downgraded, man was decent last season',negative
'Literally no one cares about this guy.',negative
'ridiculous!',negative
'You know it\'s bad when Serge Aurier getting an upgrade isn\'t even close to being the worst rating choice EA have made for FIFA 21',negative
'This man won the football writers player of the year award and came second in the PFA POTY award behind only KDB. Actually crazy that people think an 86 is too high for him. Fair enough if people think Thiago deserves higher than 85 I agree but donâ€™t take it out on Henderson. Such a bandwagon against Henderson itâ€™s ridiculous.',negative
'This stats an absolute joke',negative
'They make AgÃ¼ero bad because of his pace stat',negative
'Disrespect :\\',negative
'why non rare and whats with all these pace downgrades',negative
'I think a small pace downgrade is deserved. Don\'t get me wrong, he\'s very fast but not like 90+ pace. I would give him something like 91 acceleration and 87 sprint speed. So maybe 88-89 pace but never ever 82. Plus I think his overall should be 86.',negative
